1323,534,1345,534,1345,567,1323,567,6
686,689,727,689,727,735,686,735,đ)
740,688,833,688,833,734,740,734,Thu,
843,688,930,688,930,733,843,733,nộp,
942,686,1037,686,1037,731,942,731,quản
1048,685,1089,685,1089,731,1048,731,lý
1101,683,1150,683,1150,720,1101,720,và
1161,683,1208,683,1208,720,1161,720,sử
1219,683,1316,683,1316,727,1219,727,dụng
1327,681,1392,681,1392,726,1327,726,phí
1404,680,1498,680,1498,725,1404,725,đăng
1510,678,1573,678,1573,724,1510,724,ký,
1585,673,1652,673,1652,723,1585,723,phí
1664,686,1758,686,1758,722,1664,722,cung
1772,666,1836,666,1836,722,1772,722,cấp
1848,675,1959,675,1959,720,1848,720,thông
1971,672,2025,672,2025,710,1971,710,tin
2041,661,2089,661,2089,711,2041,711,về
591,746,674,746,674,788,591,788,giao
686,742,768,742,768,788,686,788,dịch
776,742,847,742,847,777,776,777,bảo
859,741,942,741,942,777,859,777,đảm
950,739,1035,739,1035,777,950,777,theo
1048,749,1120,749,1120,784,1048,784,quy
1131,736,1217,736,1217,782,1131,782,định
1226,736,1295,736,1295,773,1226,773,của
1302,734,1395,734,1395,781,1302,781,pháp
1406,734,1492,734,1492,780,1406,780,luật;
689,841,725,841,725,888,689,888,e)
738,834,842,834,842,881,738,881,Quản
851,834,889,834,889,881,851,881,lý
899,833,1011,833,1011,881,899,881,thông
1021,833,1074,833,1074,868,1021,868,tin
1084,833,1178,833,1178,878,1084,878,đăng
1186,830,1235,830,1235,876,1186,876,ký
1245,837,1322,837,1322,875,1245,875,trực
1333,820,1442,820,1442,875,1333,875,tuyến
1450,827,1533,827,1533,863,1450,863,theo
1545,816,1644,816,1644,862,1545,862,thẩm
1653,813,1782,813,1782,872,1653,872,quyền;
689,930,731,930,731,977,689,977,g)
743,931,820,931,820,977,743,977,Cập
833,931,919,931,919,975,833,975,nhật
930,930,1043,930,1043,975,930,975,thông
1055,930,1108,930,1108,967,1055,967,tin
1121,911,1167,911,1167,964,1121,964,về
1180,926,1263,926,1263,969,1180,969,biện
1276,923,1370,923,1370,970,1276,970,pháp
1384,923,1454,923,1454,960,1384,960,bảo
1467,922,1552,922,1552,958,1467,958,đảm
1563,921,1634,921,1634,957,1563,957,vào
1647,920,1708,920,1708,964,1647,964,Hệ
1720,910,1830,910,1830,964,1720,964,thống
1840,918,1895,918,1895,954,1840,954,dữ
1902,916,1978,916,1978,960,1902,960,liệu
1992,907,2088,907,2088,960,1992,960,quốc
595,985,655,985,655,1032,595,1032,gia
663,981,711,981,711,1022,663,1022,về
720,983,803,983,803,1030,720,1030,biện
811,984,908,984,908,1031,811,1031,pháp
916,984,987,984,987,1019,916,1019,bảo
1000,982,1092,982,1092,1024,1000,1024,đảm;
691,1080,732,1080,732,1125,691,1125,h)
744,1081,827,1081,827,1116,744,1116,Lưu
838,1080,897,1080,897,1115,838,1115,trữ
909,1069,960,1069,960,1114,909,1114,hồ
975,1086,1034,1086,1034,1119,975,1119,sơ,
1046,1077,1095,1077,1095,1114,1046,1114,tài
1110,1076,1184,1076,1184,1119,1110,1119,liệu
1197,1066,1244,1066,1244,1111,1197,1111,về
1257,1074,1352,1074,1352,1119,1257,1119,đăng
1364,1071,1414,1071,1414,1118,1364,1118,ký
1426,1070,1513,1070,1513,1114,1426,1114,biện
1527,1069,1620,1069,1620,1117,1527,1117,pháp
1636,1069,1706,1069,1706,1105,1636,1105,bảo
1723,1067,1803,1067,1803,1105,1723,1105,đảm
1816,1066,1899,1066,1899,1103,1816,1103,theo
1914,1077,1987,1077,1987,1112,1914,1112,quy
2003,1062,2091,1062,2091,1108,2003,1108,định
596,1134,665,1134,665,1171,596,1171,của
670,1133,766,1133,766,1180,670,1180,pháp
777,1132,852,1132,852,1177,777,1177,luật
860,1122,908,1122,908,1169,860,1169,về
917,1133,981,1133,981,1167,917,1167,lưu
991,1131,1060,1131,1060,1167,991,1167,trữ.
692,1229,729,1229,729,1263,692,1263,2.
743,1227,803,1227,803,1262,743,1262,Cơ
815,1236,910,1236,910,1271,815,1271,quan
923,1225,1019,1225,1019,1269,923,1269,đăng
1031,1223,1095,1223,1095,1269,1031,1269,ký,
1108,1233,1202,1233,1202,1269,1108,1269,cung
1214,1211,1281,1211,1281,1266,1214,1266,cấp
1294,1219,1407,1219,1407,1265,1294,1265,thông
1419,1218,1473,1218,1473,1254,1419,1254,tin
1485,1208,1531,1208,1531,1254,1485,1254,về
1545,1216,1631,1216,1631,1261,1545,1261,biện
1643,1215,1740,1215,1740,1262,1643,1262,pháp
